name,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H 016,TableScan,60175,59775,60175.000000,60148.539062
TPC-H 0216,TableScan,2000,27,2000.000000,41.799999
TPC-H 0217,JoinHashLeft,8000,36,8000.000000,16.719999
TPC-H 0218,JoinHashLeft,100,12,100.000000,20.000000
TPC-H 0219,JoinHashLeft,100,12,100.000000,20.000000
TPC-H 0220,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 0224,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 0229,TableScan,5,1,5.000000,1.000000
TPC-H 0230,TableScan,5,1,5.000000,1.000000
TPC-H 0311,JoinHashLeft,60175,4911,60175.000000,9795.354492
TPC-H 0312,JoinHashLeft,15000,2536,15000.000000,4305.524414
TPC-H 0316,TableScan,1500,288,1500.000000,288.000000
TPC-H 046,TableScan,15000,544,15000.000000,0.007483
TPC-H 049,JoinHashLeft,60175,2227,60175.000000,0.029840
TPC-H 055,JoinHashRight,1500,1863,1500.000000,1705.149414
TPC-H 0513,TableScan,15000,2303,15000.000000,2138.000488
TPC-H 0518,JoinHashLeft,60175,9284,60175.000000,8525.747070
TPC-H 0519,JoinHashLeft,100,20,100.000000,20.000000
TPC-H 0520,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 0525,TableScan,5,1,5.000000,1.000000
TPC-H 066,TableScan,60175,9200,60175.000000,9961.997070
TPC-H 0720,JoinHashLeft,100,7,100.000000,4.000000
TPC-H 0721,TableScan,25,1,25.000000,1.000000
TPC-H 0722,TableScan,25,1,25.000000,1.000000
TPC-H 0724,JoinHashLeft,15000,1207,15000.000000,896.984192
TPC-H 0729,JoinHashLeft,60175,4175,60175.000000,2406.999756
TPC-H 0731,JoinHashLeft,1500,117,1500.000000,60.000000
TPC-H 087,JoinHashLeft,25,34,25.000000,54.535873
TPC-H 089,JoinHashLeft,100,34,100.000000,54.535877
TPC-H 0816,JoinHashLeft,1500,302,1500.000000,300.000000
TPC-H 0822,JoinHashLeft,60175,475,60175.000000,382.402496
TPC-H 0823,JoinHashLeft,25,5,25.000000,5.000000
TPC-H 0824,JoinHashLeft,15000,468,15000.000000,381.644806
TPC-H 0829,TableScan,2000,16,2000.000000,12.709678
TPC-H 0830,TableScan,5,1,5.000000,1.000000
TPC-H 099,JoinHashLeft,8000,436,8000.000000,799.999939
TPC-H 0910,JoinHashLeft,15000,3370,15000.000000,6005.575684
TPC-H 0911,JoinHashLeft,100,100,100.000000,100.000000
TPC-H 0911,JoinHashRight,25,100,25.000000,100.000000
TPC-H 0917,JoinHashLeft,60175,3370,60175.000000,6017.500000
TPC-H 0923,TableScan,2000,109,2000.000000,200.000000
TPC-H 108,JoinHashLeft,1500,1500,1500.000000,1500.000000
TPC-H 108,JoinHashRight,25,1500,25.000000,1500.000000
TPC-H 1014,TableScan,15000,531,15000.000000,2137.765625
TPC-H 1017,JoinHashLeft,60175,2146,60175.000000,8524.810547
TPC-H 116,JoinHashLeft,8000,560,8000.000000,320.000000
TPC-H 119,JoinHashLeft,100,7,100.000000,4.000000
TPC-H 1112,TableScan,25,1,25.000000,1.000000
TPC-H 128,JoinHashLeft,15000,282,15000.000000,1416.999878
TPC-H 1214,TableScan,60175,8777,60175.000000,9973.998047
TPC-H 135,JoinHashLeft,1500,15334,1500.000000,13500.000000
TPC-H 139,TableScan,15000,14834,15000.000000,13500.000000
TPC-H 144,JoinHashRight,2000,770,2000.000000,666.388550
TPC-H 147,TableScan,60175,770,60175.000000,666.388550
TPC-H 153,JoinHashRight,100,1,100.000000,1983.007568
TPC-H 1511,TableScan,60175,2247,60175.000000,1983.007568
TPC-H 1610,JoinHashLeft,8000,1232,8000.000000,731.058228
TPC-H 1611,TableScan,100,0,100.000000,10.000000
TPC-H 1617,TableScan,2000,332,2000.000000,319.500000
TPC-H 179,JoinHashLeft,60175,62,60175.000000,60.741039
TPC-H 1712,TableScan,2000,30,2000.000000,48.500000
TPC-H 184,JoinHashLeft,60175,0,60175.000000,59789.128906
TPC-H 186,JoinHashRight,1500,0,1500.000000,14903.198242
TPC-H 1810,JoinHashLeft,15000,0,15000.000000,14903.197266
TPC-H 1815,Aggregate,60175,15000,60175.000000,60175.000000
TPC-H 1932,TableScan,2000,74,2000.000000,77.199997
TPC-H 1935,JoinHashLeft,60175,50,60175.000000,24.408022
TPC-H 1937,TableScan,2000,77,2000.000000,79.199997
TPC-H 1938,TableScan,2000,80,2000.000000,77.199997
TPC-H 205,JoinHashLeft,100,39,100.000000,0.000001
TPC-H 209,JoinHashLeft,25,23,25.000000,0.000001
TPC-H 2014,JoinHashLeft,8000,72,8000.000000,0.000010
TPC-H 2021,TableScan,2000,18,2000.000000,0.000002
TPC-H 2024,JoinHashLeft,60175,558,60175.000000,0.000073
TPC-H 219,TableScan,60175,37897,60175.000000,60175.000000
TPC-H 2112,JoinHashLeft,60175,7239,60175.000000,9660.219727
TPC-H 2116,TableScan,15000,7304,15000.000000,7304.000000
TPC-H 2119,JoinHashLeft,100,4,100.000000,4.000000
TPC-H 2121,JoinHashLeft,60175,2447,60175.000000,2406.999756
TPC-H 2124,TableScan,25,1,25.000000,1.000000
TPC-H 225,JoinHashRight,15000,59,15000.000000,1500.000000
TPC-H 228,TableScan,1500,672,1500.000000,1500.000000
