benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
JoinOrder,MaxDiffAreaHistogram,10a,0,JoinHashRight,4,265,4.000000,95.694336
JoinOrder,MaxDiffAreaHistogram,10a,1,JoinHashLeft,2528312,130,2528312.000000,95.694328
JoinOrder,MaxDiffAreaHistogram,10a,2,JoinHashLeft,3140339,200,3140339.000000,1148.329224
JoinOrder,MaxDiffAreaHistogram,10a,3,TableScan,12,1,12.000000,1.000000
JoinOrder,MaxDiffAreaHistogram,10a,4,JoinHashLeft,2609129,8790,2609129.000000,15110.946289
JoinOrder,MaxDiffAreaHistogram,10a,5,JoinHashLeft,36244344,310325,36244344.000000,236863.171875
JoinOrder,MaxDiffAreaHistogram,10a,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,MaxDiffAreaHistogram,10b,0,JoinHashRight,4,0,4.000000,300.488068
JoinOrder,MaxDiffAreaHistogram,10b,1,JoinHashLeft,3140339,0,3140339.000000,1748.147583
JoinOrder,MaxDiffAreaHistogram,10b,2,TableScan,12,1,12.000000,1.000000
JoinOrder,MaxDiffAreaHistogram,10b,3,JoinHashLeft,36244344,36999,36244344.000000,36692.984375
JoinOrder,MaxDiffAreaHistogram,10b,4,JoinHashLeft,2609129,8790,2609129.000000,15110.946289
JoinOrder,MaxDiffAreaHistogram,10b,5,JoinHashLeft,2528312,6045,2528312.000000,15110.968750
JoinOrder,MaxDiffAreaHistogram,10b,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,MaxDiffAreaHistogram,10c,0,TableScan,2528312,1749032,2528312.000000,1749032.000000
JoinOrder,MaxDiffAreaHistogram,10c,1,JoinHashRight,12,1210267,12.000000,1476571.625000
JoinOrder,MaxDiffAreaHistogram,10c,2,JoinHashLeft,3140339,1,3140339.000000,715854.375000
JoinOrder,MaxDiffAreaHistogram,10c,3,JoinHashRight,4,1210267,4.000000,1476571.500000
JoinOrder,MaxDiffAreaHistogram,10c,4,TableScan,36244344,1435439,36244344.000000,3624434.500000
JoinOrder,MaxDiffAreaHistogram,10c,5,JoinHashLeft,2609129,1153798,2609129.000000,941997.500000
JoinOrder,MaxDiffAreaHistogram,10c,6,TableScan,234997,84843,234997.000000,84843.000000
JoinOrder,MaxDiffAreaHistogram,11a,0,JoinHashLeft,234997,32,234997.000000,0.155187
JoinOrder,MaxDiffAreaHistogram,11a,1,JoinHashLeft,2528312,26,2528312.000000,0.434795
JoinOrder,MaxDiffAreaHistogram,11a,2,TableScan,18,2,18.000000,1.800000
JoinOrder,MaxDiffAreaHistogram,11a,3,JoinHashLeft,2609129,132,2609129.000000,3.567446
JoinOrder,MaxDiffAreaHistogram,11a,4,JoinHashLeft,4523930,10544,4523930.000000,33.717941
JoinOrder,MaxDiffAreaHistogram,11a,5,TableScan,4,1,4.000000,1.000000
JoinOrder,MaxDiffAreaHistogram,11a,6,JoinHashLeft,29997,250,29997.000000,8.373524
JoinOrder,MaxDiffAreaHistogram,11a,7,TableScan,134170,1,134170.000000,1.000000
